dealerId,capdb,domain,homepage,c
9918,LEA9195,circlebmw.com,http://www.circlebmw.com/,2
8344,LEA9196,circlebmw.com,http://www.circlebmw.com/,2
12395,LEA14030,citychevrolet.com,http://www.citychevrolet.com/,2
14725,LEA14700,citychevrolet.com,http://www.citychevrolet.com/,2
2480,LEA15538,classicarlington.com,http://www.classicarlington.com/,2
2949,LEA3506,classicarlington.com,http://www.classicarlington.com/,2
3861,LEA12872,classicchevrolet.com,http://www.classicchevrolet.com/,2
7559,LEA2884,classicchevrolet.com,http://www.classicchevrolet.com/,2
2870,LEA10381,classicchevrolet.net,http://www.classicchevrolet.net/,2
2349,LEA10384,classicchevrolet.net,http://www.classicchevrolet.net/,2
4653,LEA15904,classickia.com,http://www.classickia.com/,2
4654,LEA16664,classickia.com,http://www.classickia.com/,2
13493,LEA15385,classictoyotatyler.com,http://www.classictoyotatyler.com/index.htm,2
10254,LEA6767,classictoyotatyler.com,http://www.classictoyotatyler.com/index.htm,2
475,LEA12059,clevelandmotorsports.com,http://www.clevelandmotorsports.com,2
2073,LEA12041,clevelandmotorsports.com,http://www.clevelandmotorsports.com,2
11335,LEA6937,clickmotive.com,http://www.clickmotive.com/,3
16136,LEA13145,clickmotive.com,http://www.clickmotive.com,3
11671,LEA5529,clickmotive.com,http://www.clickmotive.com,3
9457,LEA14049,clickmountairy.com,http://www.clickmountairy.com/,2
5958,LEA14762,clickmountairy.com,http://www.clickmountairy.com/,2
15658,LEA14031,cloningertoyota.com,http://www.cloningertoyota.com/,2
11079,LEA14706,cloningertoyota.com,http://www.cloningertoyota.com/,2
15550,LEA9678,coconutcreekchevrolet.com,http://www.coconutcreekchevrolet.com/,2
8659,LEA6474,coconutcreekchevrolet.com,http://www.coconutcreekchevrolet.com/,2
12700,LEA4559,cogginhondaftpierce.com,http://www.cogginhondaftpierce.com/index.htm,2
12692,LEA17597,cogginhondaftpierce.com,http://www.cogginhondaftpierce.com/index.htm,2
12474,LEA4565,cogginoforangepark.com,http://www.cogginoforangepark.com/,2
1252,LEA17592,cogginoforangepark.com,http://www.cogginoforangepark.com/,2
11918,LEA11821,colonialtoyota.com,http://www.colonialtoyota.com/,2
15365,LEA10795,colonialtoyota.com,http://www.colonialtoyota.com/index.htm,2
8032,LEA3946,coloradododge.com,http://www.coloradododge.com/index.htm,3
14005,LEA8832,coloradododge.com,http://www.coloradododge.com/index.htm,3
10930,LEA3944,coloradododge.com,http://www.coloradododge.com/,3
14027,LEA4071,coloradospringshyundai.com,http://www.coloradospringshyundai.com/,2
14030,LEA650,coloradospringshyundai.com,http://www.coloradospringshyundai.com/,2
12905,LEA12697,columbusmitsu.com,http://www.columbusmitsu.com/index.htm,2
12918,LEA13875,columbusmitsu.com,http://www.columbusmitsu.com,2
2262,LEA7272,communitymotorsofmasoncity.net,http://www.communitymotorsofmasoncity.net/,2
14903,LEA8156,communitymotorsofmasoncity.net,http://www.communitymotorsofmasoncity.net/index.htm,2
17064,LEA416,continentalautogroup.com,http://continentalautogroup.com/,2
17065,LEA6003,continentalautogroup.com,http://continentalautogroup.com/,2
673,LEA680,cookfordcraig.com,http://cookfordcraig.com/,2
1645,LEA4799,cookfordcraig.com,http://cookfordcraig.com/,2
6213,LEA376,cooksubaru.com,http://www.cooksubaru.com/index.htm,2
13998,LEA4191,cooksubaru.com,http://www.cooksubaru.com/,2
3786,LEA534,cosbmw.com,http://www.cosbmw.com/,2
7462,LEA4439,cosbmw.com,http://www.cosbmw.com/,2
15179,LEA11348,countrychryslerdodgejeep.net,http://www.countrychryslerdodgejeep.net/,2
2853,LEA16641,countrychryslerdodgejeep.net,http://www.countrychryslerdodgejeep.net/index.htm,2
3353,LEA3612,countryclubnissan.com,http://www.countryclubnissan.com/,2
5564,LEA3613,countryclubnissan.com,http://www.countryclubnissan.com/,2
16412,LEA8914,courtesy-mazda.com,http://www.courtesy-mazda.com/index.htm,3
11162,LEA394,courtesy-mazda.com,http://www.courtesy-mazda.com/index.htm,3
11163,LEA4041,courtesy-mazda.com,http://www.courtesy-mazda.com/index.htm,3
15595,LEA4769,courtesyacura4u.com,http://www.courtesyacura4u.com/,2
17206,LEA294,courtesyacura4u.com,http://www.courtesyacura4u.com/index.htm,2
9152,LEA17581,courtesychryslerjeepdodge.com,http://www.courtesychryslerjeepdodge.com/index.htm,2
12615,LEA12987,courtesychryslerjeepdodge.com,http://www.courtesychryslerjeepdodge.com/index.htm,2
5465,LEA1268,craterlakemotors.com,http://craterlakemotors.com/,2
3708,LEA1024,craterlakemotors.com,http://craterlakemotors.com/,2
6987,LEA14643,crosscreeksubaru.com,http://www.crosscreeksubaru.com/,2
10974,LEA13994,crosscreeksubaru.com,http://www.crosscreeksubaru.com/,2
16135,LEA13450,crossroadscars.com,http://www.crossroadscars.com,2
12393,LEA13449,crossroadscars.com,http://www.crossroadscars.com,2
15244,LEA12436,crownacuraclearwater.com,http://www.crownacuraclearwater.com/,2
15245,LEA6616,crownacuraclearwater.com,http://www.crownacuraclearwater.com/,2
10911,LEA12437,crownaudi.com,http://www.crownaudi.com/,2
10912,LEA6618,crownaudi.com,http://www.crownaudi.com/,2
14558,LEA13928,crowndodgeoffayetteville.com,http://www.crowndodgeoffayetteville.com/,2
14727,LEA14457,crowndodgeoffayetteville.com,http://www.crowndodgeoffayetteville.com/,2
11459,LEA1252,dahlauto.com,http://www.dahlauto.com/index.htm,2
2574,LEA2848,dahlauto.com,http://www.dahlauto.com/index.htm,2
7873,LEA16517,darlings.com,http://www.darlings.com/index.htm,2
11633,LEA16135,darlings.com,http://www.darlings.com/index.htm,2
4044,LEA4310,davesolonnissan.com,http://www.davesolonnissan.com/,2
4045,LEA707,davesolonnissan.com,http://www.davesolonnissan.com/index.htm,2
16282,LEA5139,davidsonchevrolet.com,http://www.davidsonchevrolet.com/,2
15934,LEA13,davidsonchevrolet.com,http://www.davidsonchevrolet.com/,2
835,LEA11413,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/louisville/index.html,17
1045,LEA5384,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/millermotorcars/index.html,17
16099,LEA7224,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/morriscounty/index.html,17
3719,LEA15111,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/charlesbarker/index.html,17
9110,LEA6808,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/fckerbeck/index.html,17
11728,LEA7693,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/bergen_county/index.html,17
4466,LEA8405,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/raycatena/index.html,17
11017,LEA13971,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/raleigh/index.html,17
1633,LEA4048,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/north_denver/index.html,17
1883,LEA4208,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/atlanta/index.html,17
789,LEA6071,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/jim-ellis-atlanta/index.html,17
1095,LEA6473,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/herb-chambers/index.html,17
9670,LEA14484,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/raleigh/index.html,17
1889,LEA14679,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/cary/index.html,17
9760,LEA12115,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/zeigler/index.html,17
822,LEA14015,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/cary/index.html,17
1099,LEA6333,dealers.maserati.com,http://www.dealers.maserati.com/dealers/us/en/newengland/index.html,17
212,LEA1701,defouwbmw.com,http://www.defouwbmw.com/,2
72,LEA15125,defouwbmw.com,http://www.defouwbmw.com/,2
9431,LEA414,dellenbachsubaru.com,http://www.dellenbachsubaru.com/,2
10309,LEA4396,dellenbachsubaru.com,http://www.dellenbachsubaru.com/,2
8186,LEA10166,deneckerchevrolet.com,http://www.deneckerchevrolet.com/,2
3248,LEA15193,deneckerchevrolet.com,http://www.deneckerchevrolet.com/,2
8738,LEA1065,denooyerchevrolet.com,http://www.denooyerchevrolet.com/,2
2959,LEA12796,denooyerchevrolet.com,http://www.denooyerchevrolet.com/,2
1635,LEA4044,denver.bentleymotors.com,http://www.denver.bentleymotors.com/,2
10381,LEA8926,denver.bentleymotors.com,http://www.denver.bentleymotors.com/,2
8407,LEA5441,dequeenford.net,http://www.dequeenford.net/,2
17101,LEA5440,dequeenford.net,http://www.dequeenford.net/,2
12628,LEA7560,dimmitt.com,http://www.dimmitt.com/,2
16489,LEA7561,dimmitt.com,http://www.dimmitt.com/,2
13431,LEA15885,dixonflm.com,http://www.dixonflm.com/,2
3102,LEA16253,dixonflm.com,http://www.dixonflm.com/,2
15686,LEA7004,dodgeofburnsville.com,http://www.dodgeofburnsville.com/,2
15687,LEA8624,dodgeofburnsville.com,http://www.dodgeofburnsville.com/index.htm,2
10682,LEA1835,dolanrenomazda.com,https://www.dolanrenomazda.com/,2
14175,LEA1862,dolanrenomazda.com,https://www.dolanrenomazda.com/,2
11313,LEA5254,donallenchryslerdodgejeepram.com,http://www.donallenchryslerdodgejeepram.com/,2
14547,LEA5257,donallenchryslerdodgejeepram.com,http://www.donallenchryslerdodgejeepram.com/,2
13832,LEA8381,dondaviselcampo.com,http://www.dondaviselcampo.com/,2
13833,LEA8440,dondaviselcampo.com,http://www.dondaviselcampo.com/,2
6736,LEA10383,donherring.com,http://www.donherring.com/,2
6284,LEA12988,donherring.com,http://www.donherring.com/,2
8018,LEA9912,donmcgilltoyota.com,http://donmcgilltoyota.com/,2
9950,LEA2996,donmcgilltoyota.com,http://donmcgilltoyota.com/,2
11403,LEA9240,douggraychryslerdodgejeep.com,http://www.douggraychryslerdodgejeep.com/index.htm,2
13663,LEA17729,douggraychryslerdodgejeep.com,http://www.douggraychryslerdodgejeep.com/index.htm,2
13664,LEA17728,douggraymotors.com,http://www.douggraymotors.com/,2
15461,LEA10298,douggraymotors.com,http://www.douggraymotors.com/,2
713,LEA696,dovecreekford.com,http://www.dovecreekford.com/,2
629,LEA4230,dovecreekford.com,http://www.dovecreekford.com/,2
7010,LEA7445,driveserra.com,http://www.driveserra.com,2
13170,LEA7448,driveserra.com,http://www.driveserra.com/,2
14044,LEA8812,durangoford.com,http://www.durangoford.com/,2
9223,LEA3928,durangoford.com,http://www.durangoford.com/,2
14043,LEA8803,durangotoyota.com,http://www.durangotoyota.com/index.htm,2
8034,LEA3927,durangotoyota.com,http://www.durangotoyota.com/index.htm,2
16751,LEA1471,dutchmillerchevrolethyundai.com,http://www.dutchmillerchevrolethyundai.com/chevrolet.html?utm_source=Dutch%20Miller&utm_medium=referral&utm_campaign=Dutch%20Miller%20Chevrolet,2
15892,LEA12891,dutchmillerchevrolethyundai.com,http://www.dutchmillerchevrolethyundai.com/,2
4083,LEA1661,eastbaymini.com,http://www.eastbaymini.com/,2
14418,LEA16377,eastbaymini.com,http://www.eastbaymini.com/,2
16262,LEA13011,eastcoastvolkswagen.com,http://www.eastcoastvolkswagen.com/index.htm,2
16378,LEA8884,eastcoastvolkswagen.com,http://www.eastcoastvolkswagen.com/,2
1341,LEA14040,eatongm.net,http://www.eatongm.net/,2
1790,LEA14736,eatongm.net,http://www.eatongm.net/,2
8431,LEA4234,economynissan.com,http://www.economynissan.com/,2
10939,LEA701,economynissan.com,http://www.economynissan.com/index.htm,2
11448,LEA56,edbozarthchevy.com,http://www.edbozarthchevy.com/,2
9360,LEA4221,edbozarthchevy.com,http://www.edbozarthchevy.com/,2
2681,LEA928,edmartinhonda.com,http://edmartinhonda.com/,3
15717,LEA927,edmartinhonda.com,http://edmartinhonda.com/,3
8983,LEA17028,edmartinhonda.com,http://edmartinhonda.com/,3
9418,LEA6705,edwardschevroletcadillac.com,http://www.edwardschevroletcadillac.com/,2
13285,LEA15535,edwardschevroletcadillac.com,http://www.edwardschevroletcadillac.com/,2
15534,LEA9456,edwardskia.net,http://edwardskia.net/,2
15882,LEA7897,edwardskia.net,http://www.edwardskia.net,2
15262,LEA4539,ehrlichtoyota.com,http://www.ehrlichtoyota.com/,2
6003,LEA548,ehrlichtoyota.com,http://www.ehrlichtoyota.com/,2
7484,LEA551,ehrlichtoyotaeast.com,http://www.ehrlichtoyotaeast.com/,3
15263,LEA3936,ehrlichtoyotaeast.com,http://www.ehrlichtoyotaeast.com/,3
11418,LEA8829,ehrlichtoyotaeast.com,http://www.ehrlichtoyotaeast.com/,3
9127,LEA9229,eliteacura.com,http://www.eliteacura.com/,2
4106,LEA9248,eliteacura.com,http://www.eliteacura.com/,2
3047,LEA1558,elkhornchevrolet.com,http://elkhornchevrolet.com/,2
5150,LEA3726,elkhornchevrolet.com,http://www.elkhornchevrolet.com/,2
3790,LEA8582,elliottautogroup.com,http://www.elliottautogroup.com/,2
6744,LEA8618,elliottautogroup.com,http://www.elliottautogroup.com/,2
13986,LEA312,emichchevrolet.com,http://www.emichchevrolet.com/,2
13987,LEA4224,emichchevrolet.com,http://www.emichchevrolet.com/,2
8605,LEA3874,empirelakewoodnissan.com,http://www.empirelakewoodnissan.com/,2
5660,LEA8690,empirelakewoodnissan.com,http://www.empirelakewoodnissan.com/,2
3578,LEA2154,evansvillekia.com,http://www.evansvillekia.com/,2
16295,LEA1605,evansvillekia.com,http://www.evansvillekia.com/,2
14731,LEA14466,fairwayfordburgaw.net,http://www.fairwayfordburgaw.net/,2
