Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
Falloway's Auto Sales LLC,C,16-30,25,0-5,Single,Other,CallOutManager
Falls Chevrolet Cadillac Buick GMC,A,0-100,145,6/10/2015 0:00,Multi,,
Falls Chevrolet Cadillac Buick GMC Ltd,no rating,101-175,350,10-Jun,Multi Point,Reynolds,
Falls Motor City CDJR,A,,635,,,ADP,ADP
Falmouth Auto Sales,D,15-Jan,15,0-5,Single,None,
Falmouth Toyota,no rating,,234,,,,
False Accusation Motorsports LLC,D,15-Jan,15,0-5,Single,DealerCenter (Westlake),
Falveys Motors,A,0-100,324,6/10/2015 0:00,Single,Reynolds,
Famiglia Motors,no rating,,,,,,
Familia Auto Sales,D,15-Jan,20,0-5,Single,None,
Familia Motors,,,,,,,
Family A Auto Sales,no rating,,,,,,
Family Auto,no rating,,,,,,
Family Auto,A,,20,0-5,Single,FEX (FinanceExpress),
Family Auto And More,,,,,,,
Family Auto and Motorsports Group,C,16-30,50,0-5,Single,,
Family Auto Brokers,,,,,,FEX (FinanceExpress),
Family Auto Center and Service,no rating,,20,,,FEX( FinanceExpress),
Family Auto Center Spokane Valley,,,,,,,
Family Auto Credit,,,,,,,
Family Auto Credit,no rating,,,,,FEX (FinanceExpress),
Family Auto Credit - Bryan,,,,,,,
Family Auto Group LLC,no rating,,,,,,
Family Auto LLC,,,,,,,
Family Auto LLC,D,15-Jan,20,0-5,Single,Frazer,
Family Auto Llc - St Joseph,D,15-Jan,25,0-5,Single,None,
Family Auto Mart Inc,A,50+,150,0-5,Single,DealerTrack,
Family Auto Mart Inc.,D,15-Jan,50,0-5,Single,None,
Family Automotive Group LLC,no rating,,4,,,,
Family Auto Network LLC,B,31-49,35,0-5,Single,Other,SkyWerks
Family Auto Of Anderson,A,31-49,150,16-20,Single,Deal Pack,
Family Auto of Berea,B,31-49,120,0-5,Multi Point,Deal Pack,
Family Auto of Easley,B,31-49,90,0-5,Single,Deal Pack,
Family Auto of Greenville,A,50+,150,0-5,Multi,Deal Pack,
Family Auto of Spartanburg,B,31-49,70,0-5,Multi Point,Deal Pack,
Family Auto Sales,no rating,,,,,,
Family Auto Sales,,,,,,,
Family Auto Sales,,,,,,,
Family Auto Sales,,,,,,,
Family Auto Sales,,,,,,,
Family Auto Sales,D,15-Jan,15,0-5,Single,None,
Family Auto Sales,D,15-Jan,25,0-5,Multi Point,Other,
Family Auto Sales,no rating,,,,,,
Family Auto Sales & Finance,,,,,,,
Family Auto Sales And Service,B,31-49,55,0-5,Single,Other,ANPS
Family Auto Sales LLC,B,31-49,100,0-5,Single,Frazer,
Family Auto Sales - Marlboro,D,15-Jan,5,0-5,Single,None,
Family Auto Sales Of Kerrville,B,31-49,,10-Jun,Single,None,
Family Auto Sales - Rock Hill,C,16-30,25,0-5,Single,Frazer,
Family Auto Sales - Victorville,B,31-49,80,0-5,Single,AutoXplorer,
Family Auto Source,D,15-Jan,30,0-5,Single,Frazer,
Family Car Buyers,,,,,,,
Family Car Factory,,,20,,,,
Family Car Farm,,,,,,,
Family Car Leasing & Sales,no rating,,,,,,
Family Cars & Trucks Inc.,A,50+,57,10-Jun,Multi,AutoManager (DeskManager),
Family Cars and Trucks,,,,,,,
Family Chevrolet GMC,A,0-100,100,0-5,Multi Point,ADP,
Family Chevrolet of Laredo,no rating,175-300,525,0-5,Multi Point,DealerTrack(Arkona),DealerTrack(Arkona)
Family CJDR,A,101-175,354,6/10/2015 0:00,Single,Reynolds,Reynolds
Family First Automotive,,,,,,,
Family Ford Inc,B,0-100,269,6/10/2015 0:00,Multi,Reynolds,
Family Ford Inc,no rating,,248,,Multi,,
Family Ford Inc.,,,,,,,
Family Ford-Lincoln,no rating,0-100,201,11/15/2015 0:00,Multi,,
Family Ford LTD,no rating,,88,,,PBS,
Family Ford of Bluffton,no rating,,68,,Single,ADP,
Family Ford Of Northampton Inc,B,0-100,168,6/10/2015 0:00,Multi,Reynolds,
Family Ford of Pa,B,0-100,141,,Single,ADP,
Family Honda,B,175-300,500,10-Jun,Multi Point,Reynolds,
Family Hyundai,A,175-300,599,16-20,Multi,Reynolds,
Family Kia,no rating,175-300,476,10-Jun,Multi Point,,
Family Kia of St Augustine,A,101-175,244,11/15/2015 0:00,Single,ADP,
Family Motors,,,,,,,
Family Motors,B,,100,,,,
Family Motors,no rating,,,,,,
Family Motors,,15-Jan,,,,,
Family Motors,,,,,,,
Family Motors / Dealer Direct,no rating,,,,,,
Family Motors - Cibolo,B,31-49,50,0-5,Single,Frazer,
Family Motors Inc,D,15-Jan,20,,,,
FAMILY MOTORS LLC,no rating,,,,,,
Family Motor Sports and Toys,D,15-Jan,20,0-5,Single,Other,Motor Op
Family Motors - West Burlington,D,15-Jan,40,0-5,Single,None,
Family Motors - Yuba City,C,16-30,50,0-5,Single,AutoManager (DeskManager),
Family Owned Auto Sales,,,,,,,
Family Pre Owned Auto Sales,no rating,,20,,,,
Family RV,,,,,,,
Family Truck & Auto,,,,,,,
Family Trucks & Vans Inc.,A,175-300,100,31-40,Multi,ProMax,
Family Wholesale,no rating,,,,,,
Famous Auto Sales,D,15-Jan,35,0-5,Single,DealerCenter (Westlake),
Famous Auto Sales INC,,,,,,,
Famous Motors LTD.,D,15-Jan,50,0-5,Single,None,
Fam Vans,A,50+,300,21-30,Single,Other,Auto Click
Fanan Motorcars,B,31-49,75,,,,
Fanelli's Auto,B,31-49,50,0-5,Single,None,
Fannin Hyundai,no rating,,232,,,,
Fannin Powersports,no rating,,,,,,
Fannin Toyota L/M,No rating,,,,,,
Fanta-C Auto,D,15-Jan,10,0-5,Multi,None,
Fantastic Auto Sales,,,,,,,
Fantasy Automotives,C,16-30,50,0-5,Single,Wayne Reaves,
Fantasy Auto Sales Inc.,A,31-49,100,0-5,Single,DealerTrack,
Fantasy Junction,B,31-49,100,0-5,,None,
Faraj Auto Trades,B,31-49,50,0-5,Single,Other,
Faram Auto Sales Inc.,D,15-Jan,16,,,,
Faraz Auto Sales Ltd,no rating,,,,,,
Farbe's Fleet Services Inc,no rating,,,,,,
Farber Specialty Vehicles,,,,,,,
Faremore Properties Inc,A,0-100,224,6/10/2015 0:00,Multi,Reynolds,
Fares Motor Company,,,,,,,
Fargo Audi,no rating,,102,,,,
Farha Used Cars,no rating,,,,,,
Farias Automotive,,,,,,,
Faribault Harley-Davidson,,,,,,,
Faricy Ford L/M,A,0-100,107,10-Jun,Single,Reynolds,
"Farjeat Automotive Group, Inc.",,,,,,,
Farler's Auto Sales,D,15-Jan,15,0-5,Single,None,
Farm & Home Supply Inc.,D,15-Jan,10,0-5,Single,None,
Farmer's Auto Sales,,,,,,,
Farmer Center Equipment Co,,,,,,,
Farmington Auto Park,no rating,,,,,,
Farmington Auto Plaza,no rating,,,,,,
Farmington RV Sales Inc.,B,31-49,50,10-Jun,Single,None,
Farmington Tire Center,C,16-30,40,0-5,Single,None,
Far North Auto,D,15-Jan,5,0-5,Single,None,
Farnsworth Chevrolet Inc,B,0-100,317,,Multi,AutoMate,
Farrar Bail Bonds & Auto Sales,,,,,,,
Farr Auto Sales,no rating,,,,,,
Farrell's Deals On Wheels,,,,,,,
Farrell Alford Auto Sales,D,15-Jan,10,0-5,Single,,
Farrell Automotive Of Va Llc,no rating,,944,,,ADP,
Farrell Sales LLC,D,15-Jan,20,0-5,Single,None,
Farrell Volvo Southborough,no rating,,73,,,,
"Farrell Wholesale, Inc.",D,15-Jan,15,,,,
Farris Auto Sales LLC,D,15-Jan,30,0-5,Single,None,
Farrish Chrysler Jeep Dodge,no rating,,915,,,,
Farrish of Fairfax,No rating,,,,,Reynolds,
Farrish Subaru-Fairfax,C,101-175,258,6/10/2015 0:00,Multi,,
Farris Motor Company,A,0-100,162,6/10/2015 0:00,Single,Reynolds,
Farris Motors,D,15-Jan,24,0-5,Single,None,
Farrow Motors,D,15-Jan,15,0-5,Single,Frazer,
Farrow-Ward Ford,B,,25,,,,
Far South Auto Inc,D,15-Jan,8,0-5,Single,None,
Farwest Auto Sales,B,31-49,,0-5,Single,None,
Fascars Auto Sales,A,50+,,0-5,Single,None,
Fasco Motors,,,,,,,
Fasco Motors Group,,,,,,,
Fasco Motors Group,,,,,,,
Fasco Motors Group,,,,,,,
Fasco Motors Group,,,,,,,
Fast440.Com,no rating,,,,,,
Fast and Furious Auto Sales,A,31-49,50,10-Jun,Single,Deal Pack,
Fast Auto Locators,D,15-Jan,35,0-5,Single,Frazer,
Fast Automotive,no rating,,,,,,
"FAST AUTO SALES, LLC",B,31-49,100,15-Nov,Single,Other,Deal Tech
Fast Buy Autos,B,31-49,,0-5,Single,Other,
Fast Cash Auto Sales,no rating,,,,,,
Fast Credit Auto Imports,C,16-30,60,0-5,Single,DealerCenter (Westlake),DealerTrack
Fast Eddie Auto Sales Inc,D,15-Jan,,0-5,Single,Frazer,
Fast Finance Auto Sales,C,16-30,40,0-5,Multi Point,None,
Fast Finance Auto Sales Saginaw,C,16-30,50,15-Nov,Multi Point,None,
Fast Hands Automotive,,,,,,,
Fast Lane,no rating,,,,,,
Fast Lane,no rating,,,,,,
Fast Lane,no rating,,,,,,
Fastlane Auto Credit Inc,C,16-30,20,0-5,Single,DealerCenter (Westlake),
Fastlane Automart Inc,C,16-30,,,,Frazer,
Fast Lane Auto Sales,no rating,,,,,,
Fast Lane Auto Sales,,,,,,,
Fastlane Auto Sales LLC,no rating,,,,,,
Fast Lane Auto Sales LLC,no rating,,,,,,
Fast Lane Auto Sales - Montgomery,D,15-Jan,5,0-5,Single,None,
Fast Lane Auto Sales - Union City,no rating,,,,,,
Fast Lane Cars,C,16-30,22,,,DealerCenter (Westlake),
Fast Lane Classic Cars,no rating,,,,,,
Fast Lane Direct,A,,25,0-5,Single,FEX (FinanceExpress),
FastLane Garage,A,16-30,35,0-5,Single,FEX( FinanceExpress),
FastLane Garage,A,,,,,,
Fast Lane Motors,,,,,,,
Fast Lane Motor Sales LLC,C,16-30,50,0-5,Multi Point,Frazer,
Fast Lane Motors - Chantilly,C,16-30,30,0-5,Single,Frazer,
Fast Lane Motors - Cleveland,A,,150,,,,
Fast Lane Motors Inc,D,15-Jan,,0-5,Single,None,
Fast Lane Motorsports,no rating,,,,,,
Fastlane Performance,D,15-Jan,10,0-5,Single,None,
Fastrack Auto Sales,D,15-Jan,15,0-5,Single,Frazer,
FastServ Medical - Bossier City,D,15-Jan,8,0-5,Multi Point,None,
FastServ Medical - West Monroe,D,15-Jan,8,0-5,Multi Point,None,
Fast Track Auto Sales - Fruitland,C,16-30,50,0-5,Single,AutoManager (DeskManager),
Fast Track Auto Sales - Harrisburg,C,16-30,20,0-5,Single,Wayne Reaves,
Fast Track Auto Sales - Hot Springs,D,15-Jan,7,0-5,Single,,
Fast Track Auto Sales - Ravenna,A,50+,150,15-Nov,Multi,DealerTrack,
Fast Track Leasing,no rating,,,,,,
FAST TRACK MOTORS,,,,,,,
Fast Track Trailers & Autos,D,15-Jan,25,0-5,Single,None,
Fast Vintage,no rating,,50,,Multi Point,,
Fastway Auto Sales,no rating,,,,,,
Fat Boy Motor Co,no rating,,,,,,
Fatboys Auto,,,,,,,
Fatboys Auto Sales,D,15-Jan,5,0-5,Single,None,
FATE AUTO SALES INC,,,,,,,
Father & Sons Auto Sales,D,15-Jan,15,0-5,Single,None,
Father and Son Auto Sales,B,,100,,,FEX (FinanceExpress),
Fathers & Sons Inc,C,101-175,131,,Multi,,
Fathers and Sons Audi Volvo,A,,142,,,,
Fathers and Sons Pre-Owned Center,no rating,,,,,,
Fathers and Sons Saab,No rating,,,,,,
Fathers and Sons Volkswagen,No rating,,,,,,
Fatihi Auto Inc,no rating,,,,,,
Faul's Auto Sales,D,15-Jan,10,0-5,Single,None,
Faulkner Auto Sales/Faulk,C,16-30,20,0-5,Single,DealerClick,
Faulkner BMW,no rating,0-100,171,10-Jun,Multi Point,ADP,
Faulkner Buick GMC,B,,289,15-Nov,Multi Point,ADP,
Faulkner Buick GMC,B,,603,15-Nov,Multi Point,,
Faulkner Buick GMC Harrisburg,No rating,101-175,360,15-Nov,Multi Point,ADP,
Faulkner Cadillac,no rating,0-100,331,10-Jun,Multi Point,ADP,
Faulkner Cadillac Mechanicsburg,B,0-100,312,10-Jun,Multi,ADP,
Faulkner Chevrolet,B,0-100,186,6/10/2015 0:00,Single,DealerTrack,
Faulkner Chevrolet,A,0-100,211,6/10/2015 0:00,Multi,Reynolds,
Faulkner Chevrolet Cadillac,no rating,0-100,230,10-Jun,Multi Point,ADP,
Faulkner-Ciocca Chevrolet,no rating,,259,,,,
Faulkner-Ciocca Volkswagen,no rating,,156,,,,
Faulkner Dodge Ram,A,0-100,230,6/10/2015 0:00,Multi,ADP,
Faulkner Fiat of Harrisburg,B,0-100,120,,Multi,ADP,
Faulkner Honda,C,,460,15-Nov,Multi Point,ADP,
Faulkner Hyundai,A,,548,,Multi Point,ADP,
Faulkner Hyundai,A,101-175,507,6/10/2015 0:00,Multi,ADP,
Faulkner Mazda Harrisburg,No rating,0-100,140,10-Jun,Multi Point,ADP,
Faulkner Mazda Trevose,B,,360,,,ADP,
Faulkner Nissan,B,,63,,Multi,ADP,
Faulkner Nissan of Harrisburg,B,175-300,729,11/15/2015 0:00,Multi,ADP,
Faulkner Pre-Owned of Lancaster,A,16-30,70,0-5,Multi Point,ADP,
Faulkner Subaru-Bethlehem,no rating,0-100,260,15-Nov,Multi Point,ADP,
Faulkner Subaru-Harrisburg,A,175-300,482,11/15/2015 0:00,Multi,ADP,
Faulkner Subaru Mechanicsburg,B,0-100,463,6/10/2015 0:00,Multi,ADP,
Faulkner Toyota,no rating,0-100,200,15-Nov,Multi Point,ADP,
Faulkner Toyota Trevose,A,175-300,450,11/15/2015 0:00,Multi,ADP,
Faulkner Volkswagen Mechanicsburg,A,,198,,Multi,ADP,
Faw Motor Company Inc,no rating,,46,,,,
Faws Garage,,,,,,,
Fayad Auto Sales,no rating,,,,,,
Fayard Auto Direct,D,15-Jan,5,0-5,Single,None,
Fayette Automotive Group,D,15-Jan,10,0-5,Single,None,
Fayette Honda,no rating,,115,,,,
Fayetteville Auto Mart,A,50+,150,10-Jun,Multi Point,ProMax,
Fayetteville Automarts,A,,,,,,
Fayetteville Auto Sales,D,15-Jan,20,0-5,Single,Comsoft (Money Maker),
Fayetteville Dodge Ram,B,0-100,242,6/10/2015 0:00,Multi,DealerTrack(Arkona),DealerTrack(Arkona)
Fayetteville Premium Pre-owned,No rating,,,,,,
Fay Motors Inc,D,0-100,54,,Single,,
Fay St. Auto Sales,no rating,,,,,,
Fazio's Auto Sales,A,,150,0-5,Multi,,
FB's Automart,no rating,,,,,,
FCA,,,,,,,
FCA Auto Sales,D,15-Jan,15,0-5,Single,None,
Fc Auto,D,15-Jan,33,,,Wayne Reaves,
FCI Custom Police Vehicles,,,,,,,
FC Kerbeck,A,,193,,,ADP,ADP
Fc Kerbeck Aston Martin,No rating,,,,,,
Fc Kerbeck Bentley Palmyra New Jersey,A,101-175,622,,Multi,,
Fc Kerbeck Buick GMC,No rating,,419,,,,
Fc Kerbeck Maserati,B,101-175,619,11/15/2015 0:00,Multi,,
Fc Kerbeck Rolls-Royce,No rating,,,,,,
FCM Dallas,,,,,,,
FC Sales LLC,no rating,,,,,,
Fdfsd,no rating,,,,,,
Feagin Motor Co.,B,31-49,,0-5,Single,Other,DataTron
Featherlite Coaches,,,,,,,
Featherston Motors Co Inc,D,15-Jan,20,0-5,Single,None,
Fechner Motors,,,,,,,
Fecteau Ford,no rating,,,,,,
Fedderly Chrysler Dodge Jeep,C,0-100,99,0-5,Single,,
Fedder Motors,C,16-30,45,0-5,Multi Point,Frazer,
Feddick Ford Inc,no rating,,31,,Single,,
Federal Auctioneers,no rating,,,,,,
Federated Auto Sales Inc.,no rating,,30,,,,
Federico Chrysler-Dodge-Jeep,no rating,,283,,,,
Federico Kia,no rating,,154,,,AutoMate,
Fedoruk's Used Cars & Trucks,no rating,,,,,,
Feduke Ford Lincoln,B,0-100,254,6/10/2015 0:00,Single,AutoMate,
Feel Good Auto Group,,,,,,,
Feel Good Motors Inc.,B,31-49,100,15-Nov,Single,,VAuto
Feeney Car Sales,no rating,,,,,,
Feeny Chrysler Jeep Dodge,no rating,,371,,Multi Point,,
Feeny Chrysler Jeep Dodge of Gaylord,B,0-100,184,,Multi,DealerTrack,
Feeny Chrysler Jeep Dodge of Midland,no rating,,423,,,DealerTrack,
Feeny Ford of Grayling Inc,B,0-100,154,,Multi,DealerTrack,
Felco Motors,no rating,,,,,,
Feldman Auto Center,no rating,,,,,,
Feldman Chevrolet of Highland,B,,2668,,,,
Feldman Chevrolet of Lansing,no rating,,2706,,,,
Feldman Chevrolet of Livonia,A,175-300,2723,6/10/2015 0:00,Multi,ADP,
Feldman Chevrolet of New Hudson,A,175-300,2713,,Multi,ADP,
Feldman Chevrolet of Novi,A,,2124,,Multi,ADP,
Feldman Hyundai of Waterford,B,0-100,762,,,ADP,
Feldmann Imports Mercedes-Benz,B,175-300,251,11/15/2015 0:00,Single,ADP,
Feldner Chevrolet Inc,A,,75,,,,
Felix Car Sales,D,15-Jan,5,0-5,Single,None,
Felix Chevrolet of DTLA,no rating,,360,,Multi,ADP,ADP
Felix Sabates Chevrolet Cadillac,B,101-175,662,11/15/2015 0:00,Multi,Reynolds,
Fellah Auto Group,no rating,,,,,FEX( FinanceExpress),FEX( FinanceExpress)
Fellers Inc,A,0-100,110,,Single,,
Fellini Auto Sales & Services LLC,,,,,,,
Felton's Auto Sales,C,16-30,50,0-5,Single,None,
Felton's Used Cars,no rating,,,,,,
Felton Burke Automotive Group,,,,,,,
Felton Holly Kia,B,,188,,,,
Felts Used Cars,no rating,,,,,,
Fencar Auto Inc,no rating,,,,,,
Fenders Auto Sales,D,15-Jan,,0-5,Single,Wayne Reaves,
Fenelon Falls Marina Inc,no rating,,,,,,
Fenton Automotive Group,B,0-100,738,6/10/2015 0:00,Multi,,
Fenton Ford,no rating,,156,,,,
Fenton Honda of Ardmore,A,0-100,204,11/15/2015 0:00,Multi,DealerTrack,
Fenton Hyundai,A,300+,577,,Multi,ADP,ADP
Fenton Mobility Products,no rating,,55,,,,
"Fenton Motors, Inc",B,0-100,60,6/10/2015 0:00,Multi,ADP,ADP
"Fenton Motors of Amarillo, LLC",A,0-100,80,0-5,Multi Point,ADP,ADP
FENTON MOTORS OF ARDMORE INC,No rating,,,,,ADP,
Fenton Motors of Dumas,C,0-100,0,,Multi,ADP,ADP
"Fenton Motors Of Pampa, Inc",B,101-175,0,6/10/2015 0:00,Multi,ADP,
Fenton Nissan East,no rating,,474,,,ADP,ADP
Fenton Nissan Lee's Summit LLC,no rating,,332,,,ADP,ADP
Fenton Nissan of Ardmore,B,0-100,287,11/15/2015 0:00,Multi,ADP,ADP
"Fenton Nissan of Knoxville, LLC",no rating,,288,,,ADP,ADP
Fenton Nissan of Legends,,,,,,ADP,
Fenton Nissan of Rockwall,A,,,,,ADP,ADP
"Fenton Nissan of Tiffany Springs, LLC",B,0-100,734,6/10/2015 0:00,Multi,ADP,ADP
Fenton Nissan West,A,101-175,435,,Multi,ADP,ADP
Fentons Auto LLC,D,15-Jan,35,0-5,Single,None,
Fenzel Motor Sales,B,0-100,75,,Single,AutoSoft,
Ferco Motors,no rating,,,,,FEX (FinanceExpress),
Feretti Motors Inc.,no rating,,,,,,
Ferg's Auto Sales,no rating,,,,,,
Fergie's Auto Sales LLC,,,,,,,
Ferguson's Auto,C,16-30,20,0-5,Single,DealerCenter (Westlake),West Lake
Ferguson Auto & RV Sales,no rating,,,,,,
Ferguson Auto Center,no rating,,,,,,
Ferguson Buick GMC,A,175-300,471,,Multi,ADP,
Ferguson Buick GMC,C,,,,,ADP,ADP
Ferguson Kia,B,101-175,379,11/15/2015 0:00,Single,ADP,
Ferguson Pontiac-Gmc Used Cars,A,0-100,500,Over 50,Single,ADP,ADP
Ferman's Auto Sales,,,,,,,
Ferman Acura,no rating,0-100,203,10-Jun,Multi,ADP,
Ferman BMW/Mini,no rating,101-175,279,16-20,Multi Point,ADP,
Ferman Buick Pontiac Gmc,no rating,101-175,352,15-Nov,Multi,DealerTrack(Arkona),
Ferman Chev Of Tarpon Springs,no rating,101-175,404,21-30,Multi Point,ADP,
Ferman Chrysler Jeep Dodge Ram Tampa,B,101-175,669,6/10/2015 0:00,Multi,Delete,
Ferman Chrysler Jeep of NPR,no rating,101-175,603,16-20,Multi Point,ADP,
Ferman Ford Of Country Side,A,101-175,508,11/15/2015 0:00,Multi,ADP,
Ferman Mazda - Brandon,no rating,101-175,337,16-20,Multi Point,ADP,
Ferman Mazda Countryside,No rating,,171,,,,
Ferman Mini of Tampa Bay,B,0-100,264,10-Jun,Multi Point,ADP,
Ferman Motor Car Co Inc,B,,,,,,
Ferman Nissan,B,300+,409,,Multi,Delete,
Ferman Volvo,No rating,,183,,,,
Ferme 5 Etoiles Centre De,no rating,,,,,,
Fernandez Honda - San Antonio,no rating,175-300,455,16-20,Single,Reynolds,
Fernand J Lucier Inc,no rating,,,,,,
Fernando's Auto Sales Llc,D,15-Jan,30,0-5,Single,Frazer,
Ferndale Honda,B,0-100,112,,Single,AutoMate,
Fernelius Chevrolet Inc,C,0-100,85,,Multi,ADP,
FERNELIUS FORD LINC MERC INC,C,0-100,88,,Multi,ADP,
Fernelius Hyundai,A,0-100,101,6/10/2015 0:00,Multi,ADP,
Fernelius Sales Inc,A,0-100,147,6/10/2015 0:00,Multi,ADP,
Fernelius Toyota,B,0-100,141,6/10/2015 0:00,Multi,ADP,
Fernie Chrysler Ltd,B,0-100,115,10-Jun,,ADP,
Fernie Ford Sales Ltd,B,0-100,75,10-Jun,,ADP,
Fernley Chrysler Dodge Jeep Ram,,,,,,,
Ferntree Gully Autos,A,,,,,,
Ferntree Gully Toyota,A,,,,,,
Fernwood Auto Sales,B,,100,,,,
Ferrante Motors,D,15-Jan,12,0-5,Single,None,
Ferrari and Maserati of Palm Beach,C,0-100,25,,Multi,ADP,
Ferrari Beverly Hills,B,0-100,53,,Multi,Reynolds,
Ferrari Los Angeles,No rating,,14,,,,
Ferrari Maserati Newport Beach,no rating,,41,,,,
Ferrari Maserati of Atlanta,C,0-100,68,,Single,Delete,
Ferrari Maserati of Central Florida,C,0-100,60,6/10/2015 0:00,Single,Reynolds,
Ferrari Maserati of Central Nj,A,,,,,,
Ferrari Maserati of Central NJ,No rating,,,,,Reynolds,
Ferrari Maserati of Long Island,A,,1006,,Multi,,
Ferrari Maserati of Vancouver,no rating,,,,,,
Ferrari Maserati of Washington,no rating,,25,,,,
Ferrario Auto Center,B,0-100,144,,Multi,AutoMate,
Ferrario Auto Team of Elmira,no rating,,564,,Multi,,
Ferrario Auto Team of Sayre,C,0-100,246,,Multi,AutoMate,
Ferrari OEM Lead Integration,,,,,,,
Ferrari of Austin,B,0-100,24,0-5,Single,,
Ferrari of Denver,No rating,0-100,80,,Single,Other,
Ferrari of Hawaii,B,0-100,10,,Multi,ADP,
Ferrari of Houston,no rating,,53,,,ADP,CDK Dash / Websuite 1000
Ferrario Ford-Lincoln,no rating,,388,,Multi,,
Ferrari of Salt Lake City,no rating,,40,,,,
Ferrari of San Antonio,,,,,,,
Ferrari of San Diego,no rating,,42,0-5,Single,,
Ferrari of San Francisco,no rating,,21,10-Jun,Multi Point,,
Ferrari of San Juan,,,,,,,
Ferrari Of Seattle,B,,20,,,ADP,
Ferrari of Tampa Bay,C,0-100,48,,Single,Reynolds,
Ferrari of The Woodlands,,,,,,,
Ferrari Silicon Valley,No rating,,53,,,,
Ferrari South Bay,No rating,,13,,,,
Ferraro Motor Company,no rating,,,,,,
FERRIS CHEVROLET-BUICK-CADILLAC,no rating,,174,,,,
Ferris Chevrolet Buick Cadillac Toyota,no rating,,300,,,ADP,ADP
Ferro Automobiles,no rating,,,,,,
Ferro Automobiles Inc,no rating,,,,,,
Feshave Auto Sales,D,15-Jan,10,0-5,Single,Frazer,
Fesler Auto Mall,no rating,,148,,,,
Festing Toyota,C,0-100,80,0-5,Single,Reynolds,
Festival City Finance,,16-30,,,,,
Festival City Motors Limited,,,,,,,
Feszchak's Auto Sales & Service,D,15-Jan,10,0-5,Single,None,
Fetch,D,15-Jan,0,,,,
FetchAQuote.com,,,,,,,
Fette Kia,no rating,,285,,Multi,,
Fett Motors Inc.,C,16-30,60,0-5,Single,Wayne Reaves,
Fetts City Motor Center,no rating,,,,,,
Feussner Ford Inc,B,0-100,61,,Single,ADP,
F E Welterlen Motors Inc,C,,16,,,,
Fewer Kia,no rating,,,,,,
FEX,,,,,,,
FEX DMS a Finance Express Company,no rating,,,,,,
Feyer Ford And Lincoln Inc,B,0-100,150,,Multi,AutoSoft,
Feyer Ford Inc,B,,118,,,,
Feyer Ford of Edenton Inc,no rating,,121,,,,
FFUN Fleet,no rating,,,,,,
FFUN Motorsports,no rating,,,,,DealerVu,DealerVu
FFun Trailers and Marine Saskatoon,no rating,,,,,,
F Gendron Auto Inc,no rating,,,,,,
Fgr Auto Inc,no rating,,,,,,
FH Dailey Chevrolet,No rating,,509,16-20,,,
FH Equipments Inc,B,31-49,50,0-5,Single,Wayne Reaves,
Fiat & Alfa Romeo of Danbury,No rating,,705,,,ADP,
Fiat Alfa Romeo of Austin,A,101-175,361,11/15/2015 0:00,Multi,ADP,
Fiat By Executive,A,,36,,,,
Fiat Dealership In Birmingham,B,,163,,,,
Fiat De La Capitale,B,0-100,500,15-Nov,Multi Point,ADP,
Fiat de San Juan,,,,,,,
FIAT of Arlington,,,,,,,
Fiat Of Austin 228,No rating,,,,,,
FIAT of Burlingame,No rating,,,,,Reynolds,
Fiat of Clearwater,C,0-100,132,,Multi,ADP,
Fiat of Creve Coeur,no rating,,153,,,,
Fiat of Dallas,B,0-100,168,,Multi,Reynolds,
Fiat of Duncan,no rating,0-100,200,10-Jun,Multi Point,,
Fiat of Fallston,A,175-300,137,,Multi,ADP,
Fiat of Fayetteville,no rating,,464,,,,
Fiat of Fort Myers,A,101-175,298,10-Jun,Multi,Reynolds,
Fiat of Fresno,C,0-100,91,10-Jun,Multi,Reynolds,
Fiat of Lehigh Valley,no rating,,67,,,,
Fiat of London,no rating,,56,,,,
Fiat of Los Angeles,A,,245,0-5,Multi Point,,
Fiat of Manhattan,no rating,,252,,Multi,,
Fiat of Maple Ridge,A,0-100,258,15-Nov,,ADP,
Fiat of Montgomeryville,no rating,,106,,,,
FIAT of North Miami,C,,121,,Single,ADP,ADP
Fiat of Ontario,no rating,,349,,Multi Point,,
Fiat of Palm Springs,A,0-100,199,,Multi,ADP,
Fiat of Portland,,,,,,,
Fiat of Puente Hills,B,0-100,84,0-5,Single,ADP,
FIAT of Savannah,B,0-100,177,11/15/2015 0:00,Multi,Reynolds,
FIAT of Scottsdale,no rating,300+,840,31-40,Multi Point,ADP,
Fiat of Springfield,B,0-100,89,,Multi,Reynolds,
Fiat of Steinbach,C,0-100,228,0-5,Single,Serti,
Fiat of Strongsville,B,0-100,287,6/10/2015 0:00,Multi,ADP,
Fiat of Tacoma,A,101-175,225,11/15/2015 0:00,Multi,,
Fiat of The Triad,no rating,,168,,,,
Fiat of Vancouver,B,0-100,124,10-Jun,,Reynolds,
FIAT of Westbury,no rating,,172,,,ADP,
Fiat of Wichita,no rating,0-100,73,0-5,Multi Point,ADP,
Fiat of Wilmington,B,0-100,288,,Multi,ADP,
Fibre-Verre Rawdon,no rating,,,,,,
Fidelity Auto & Truck Sales,C,16-30,35,0-5,Single,Frazer,
Fidelity Auto Wholesale,,,,,,,
Fidelity Finanical,D,,25,0-5,Single,None,
Fidelity Fleet And Finance LLC,A,,117,,,DealerTrack,
