Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
2181474 Ontario Inc,no rating,,,,,,
218 Auto Sales,D,15-Jan,10,0-5,Single,None,
21 Auto Sales LLC,no rating,,,,,,
21 South Auto Sales Inc.,D,15-Jan,20,0-5,Single,Wayne Reaves,
21st Century Auto Group Inc,A,50+,270,0-5,Single,DealerTrack(Arkona),
21st Century Motors,D,15-Jan,35,0-5,Single,Frazer,
220 Auto Sales,,,,,,,
220 Auto Sales,D,15-Jan,20,,,,
220 Pheonix Auto Sales,A,31-49,135,0-5,Single,ProMax,
2219625 Ontario Inc,no rating,,115,,,Serti,
2248085 ONTARIO INC,no rating,,,,,,
22nd St Auto,no rating,,,,,,
2304718 Ontario Inc,no rating,,,,,ADP,
2311390 Ontario Inc,no rating,,,,,,
231 Auto Mart LLC,C,16-30,10,0-5,Single,None,
231 Car Sales,C,16-30,45,0-5,Single,Frazer,
231 Lemon Lot,D,15-Jan,20,0-5,Single,None,
2343654 Ontario Inc,no rating,,321,,,ADP,
"239 Auto Group, Inc.",B,31-49,40,0-5,Single,None,
23 Auto Sales,,,,,,,
23 Camper Sales LLC,D,15-Jan,60,0-5,Single,None,
23rd Street Auto Sales LLC,C,16-30,50,0-5,Single,DealerClick,
24/7 Motors Inc,D,15-Jan,25,0-5,Single,Other,
2424-4931 Quebec Inc,no rating,,0,,,,
2464402 Ontario Ltd,no rating,,,,,ADP,
2464403 Ontario Ltd,no rating,,,,,ADP,
246K Cars,no rating,,,,,FEX (FinanceExpress),
247 Auto Sales Inc,B,31-49,30,0-5,Single,None,
248 Auto Sales,D,15-Jan,9,0-5,Single,None,
24 Auto Sales - Hwy 61,C,15-Jan,10,0-5,Single,Frazer,
24 Motors,,,,,,,
24th & Lapeer Auto,,,,,,,
253 Motoring LLC,,,43,,,,
25 Auto LLC,B,31-49,30,0-5,,None,
25 ROUTE 28 INC,no rating,,308,,,Reynolds,
25th Street Auto Sales,D,15-Jan,40,0-5,Single,None,
25Th Street Auto Sales,C,16-30,40,0-5,Single,AutoManager (DeskManager),
270 Auto Sales,D,15-Jan,10,0-5,Single,None,
270 Auto Sales,D,15-Jan,20,0-5,Single,None,
270 Premier Auto Sales Inc,D,15-Jan,10,0-5,Single,,
277 Motors,,,,,,,
"278 Automotive Sales, LLC",D,15-Jan,12,0-5,Single,None,
27 Auto Sales Inc. of Leon,B,31-49,70,0-5,Single,Wayne Reaves,
27 Auto Sales LLC,A,15-Jan,25,0-5,Single,FEX( FinanceExpress),
27 Motors.Com,C,16-30,,,,FEX (FinanceExpress),
281 Truck Sales,D,15-Jan,10,0-5,Single,AutoAction,
2845-6630 Quebec Inc,no rating,,,,,,
2972344 Canada Inc,no rating,,,,,,
29 Auto Outlet,C,16-30,43,,,,
29 Palms Ram Truck Center,,,,,,,
2 Amigo Auto Sales,D,15-Jan,10,0-5,Single,Frazer,
2 B's Auto Sales,,,,,,,
2 Brothers Auto Sales,,,,,,,
2Brothers Powersports,no rating,,,,,,
2 Car Guys LLC,,,,,,,
2 Dudes RC Hobbies,,,,,,,
2 Guys Autos,,,,,,,
2 Guys Selling Cars,,,,,,FEX (FinanceExpress),
2 Guys Selling Cars,,,,,,,
2 Guys Value Ctr,no rating,,,,,,
2H Auto Sales,D,15-Jan,10,0-5,Single,,
2k Auto,,,35,,,,
"2K Karz, Llc.",D,15-Jan,3,0-5,Single,None,
2nd Chance Auto - Norwalk,C,16-30,10,0-5,Single,Frazer,
2nd Chance Auto - Rathdrum,D,15-Jan,12,0-5,Single,None,
2nd Chance Auto Sales,B,31-49,80,0-5,Single,Quantech,
2nd Chance Auto Sales,C,16-30,45,0-5,Single,Other,
2nd Gear Motorcycles,,,,,,,
2 Speed Auto Sales,no rating,,20,,,,
2tinga,no rating,,,,,,
2 Wheel Heaven LLC,no rating,,,,,,
2 Win Auto Sales,B,31-49,75,0-5,Single,Other,Own
300 Down Auto Sales,C,16-30,30,0-5,Single,None,
302 Auto Sales,,,,,,,
3045043 Nova Scotia Limited,no rating,,,,,PBS,
"304 Truck & Trailer Sales, Inc.",no rating,,,,,,
305966 Saskatchewan Ltd.,no rating,,,,,,
305966 Saskatchewan Ltd.,no rating,,,,,,
307 Auto Plaza,,,,,,,
307 Auto Remarketing LLC,,,,,,,
307 Motors,,,,,,,
3089-1311 Quebec inc,no rating,,,,,,
309 Automart Inc,A,101-175,367,11/15/2015 0:00,Single,ADP,
30 West Auto,D,15-Jan,10,0-5,Single,None,
30 West Auto Sales Inc.,no rating,,,,,,
319 Auto Sales,D,15-Jan,5,0-5,Single,None,
319 Motors,,,,,,,
31 Motorsports LLC,D,15-Jan,3,0-5,Single,None,
31 South Auto Sales Inc,D,15-Jan,15,0-5,Single,None,
321 Auto Sales,B,,100,,,,
321 Auto Sales LLC,no rating,,,,,,
321 Drive,A,50+,150,0-5,Multi Point,AutoManager (DeskManager),
321 Drive #2,A,50+,150,0-5,Multi Point,AutoManager (DeskManager),
32nd Street Buy Here Pay,D,15-Jan,15,0-5,Single,None,
339 Auto Sales,C,16-30,50,0-5,Single,Frazer,
33 Auto Group,,,68,,,,
33 Auto Sales,C,16-30,50,0-5,Single,AutoManager (DeskManager),
3400 Auto Sales & Service,no rating,,,,,FEX (FinanceExpress),
343 Auto Lr Inc,no rating,,,,,,
3445 Car Store Inc.,B,,100,,,,
34 Deals LLC,D,15-Jan,30,0-5,Single,None,
356 Enterprises LLC,no rating,,,,,,
35 Auto Group,no rating,,,,,,
35 Auto Group,B,31-49,100,0-5,Single,Frazer,
35 Auto Sales,D,15-Jan,20,0-5,Single,Frazer,
360 Automotive Group Inc.,B,16-30,100,0-5,Single,None,
360 Auto Sales,,,,,,,
360 Exotics,no rating,,,,,FEX (FinanceExpress),
360 Kustoms Auto Sales Inc,D,15-Jan,5,0-5,Single,None,
360 Motors Inc.,,,,,,,
360 Motors LLC,,,,,,,
360 Motorsports LLC,,,,,,,
360 Smart Car,,,,,,,
365 Autos,,,,,,,
367 Auto,D,15-Jan,3,0-5,Single,None,
371 Auto Sales,D,15-Jan,4,0-5,Single,None,
378 Auto Sales,D,15-Jan,20,0-5,Single,DealerCenter (Westlake),
37 Auto Sales - Verbena,D,15-Jan,15,0-5,Single,Frazer,
37 Auto Sales - Wichita,no rating,,,,,,
380 Auto Sales,D,15-Jan,10,0-5,Single,None,
380 Motors,no rating,,,,,,
38 Motors,C,16-30,60,0-5,Single,Frazer,
3925 Partners Ltd,B,0-100,442,6/10/2015 0:00,Multi,DPC,
3995 Auto Sales,C,16-30,35,0-5,Single,Frazer,
3B's Bueno Bonito Barato Auto Sales LLC,C,16-30,70,0-5,Single,None,
3 B Auto Sales,,,,,,,
3 Bay Auto Sales Ltd,no rating,,,,,,
3 Boys Classic Towing & Auto Sales,B,31-49,27,0-5,Single,None,
3 Boys Motors Inc.,D,15-Jan,41,0-5,Single,Other,Dealerscloud
3 Brothers Auto Sales,no rating,,,,,,
3 Brothers Auto Sales,D,15-Jan,25,0-5,Single,None,
3-D Automotive LLC,D,15-Jan,25,0-5,Single,,
3D Auto Sales,,,,,,,
"3D Auto Sales, Inc.",D,15-Jan,5,0-5,Single,None,
3 Digit Auto Sales ~ The Home Of The Deal!,A,50+,150,0-5,Multi Point,Frazer,
3-D Motors,D,15-Jan,10,0-5,,Frazer,
"3-D Motors, Inc.",A,31-49,200,0-5,Multi Point,Wayne Reaves,
3G Auto Sales,,,40,,,,
3GEngagement,no rating,,,,,,
3 GEN LLC,no rating,,164,,,ADP,
3 G Kart Racing,,,,,,,
"3G Motors, LLC",D,15-Jan,30,0-5,Single,Other,
3GT Racing / Gentilozzi Real Estate,,,,,,,
3 J's Auto Sales Inc,D,15-Jan,10,0-5,Single,None,
3J Auto Sales,B,31-49,40,0-5,,None,
3J Investments,D,15-Jan,10,0-5,Single,None,
3 LM Motorsports Inc,D,15-Jan,12,0-5,Single,Frazer,
3M Auto,D,15-Jan,32,0-5,Single,AutoManager (DeskManager),
3 Queens Auto Sales Llc,D,15-Jan,,0-5,Single,None,
3 R's Used Cars,no rating,,,,,,
"3rd Chance Auto, LLC",C,16-30,80,0-5,Single,FEX (FinanceExpress),
3 Six O Motorsports,D,15-Jan,17,0-5,Single,Frazer,
3Tr Sales And Leasing,no rating,,,,,,
3vrsenc,no rating,,,,,,
3W Automotive,no rating,15-Jan,50,0-5,Multi,,
3W Autoplex,,,,,,,
"3-Way Auto Sales, Inc.",B,31-49,60,0-5,,Frazer,
400 Auto Sales,D,15-Jan,10,0-5,Single,None,
400 Chrysler,,,,,,ADP,
400 Infiniti,C,0-100,60,10-Jun,Multi Point,ADP,
401 Auto RV Canada,no rating,,,,,,
401 Auto RV Canada Inc,no rating,,,,,,
401 Auto Sales,D,15-Jan,15,0-5,Single,None,
401 Auto Sales and Service,,,,,,,
401 dixie,no rating,,109,,,ADP,
401 Dixie Kia,no rating,,,,,,
401K AUTO SALES,no rating,,,,,,
401 Kennedy Chrysler,no rating,0-100,200,10-Jun,Multi Point,Reynolds,
401 Trucksource Inc,,,,,,,
4042 Motors Llc,B,31-49,100,0-5,Single,DealerSolutions (KGI),Dealer Solutions
405 Cash For Cars,,,,,,,
405 Motors,A,,150,,,Frazer,Frazer
4068955 Canada Inc,no rating,,,,,,
406 Motors Of Kalispell,B,,100,,,,
40 Highway Wholesale Outlet,C,16-30,30,0-5,,None,
40 Hwy Auto Sales,D,15-Jan,35,0-5,Single,,
40 West Auto Sales Inc.,D,15-Jan,12,,Multi,,
410 Motors Llc,D,15-Jan,16,0-5,Single,Frazer,
411 Auto Auction Inc.,B,31-49,75,0-5,Single,None,
411Carline.Com,C,16-30,28,0-5,Single,Frazer,
412 Nairn Auto Sales Inc,no rating,,,,,,
4134320 Canada Inc,no rating,,,,,,
414 Motor Cars,D,15-Jan,15,0-5,Single,DealerCenter (Westlake),
416 Motorz Inc,,,,,,,
417Autoland.Com,D,15-Jan,60,0-5,Single,DealerClick,
417 Automotive,A,31-49,100,0-5,Multi Point,DealerTrack,
417 Automotive Imports Inc,no rating,,,,,,
417 Infiniti,no rating,,40,,,,
417 Nissan,no rating,,245,,,,
41-A Auto Sales,C,16-30,45,0-5,Single,Other,ezcar pack
422 Sales,B,,0,0-5,,,
425 Auto & Equipment Sales,D,15-Jan,10,0-5,Single,None,
427 Auto Collision Ltd,no rating,,,,,,
427 Qew Kia,C,0-100,200,10-Jun,Multi Point,Other,
44/82 Motorsports,C,16-30,25,0-5,Single,Wayne Reaves,
440 Chevrolet Buick GMC Ltée,no rating,,,,,,
440 Ford Lincoln,no rating,,230,,,,
4427378 Canada Inc,no rating,,,,,,
443 Auto Sales Llc,A,50+,100,15-Nov,Single,Other,Genesys
44 Auto Mall,no rating,,,,,,
45th Street Motors Ltd,A,31-49,50,0-5,Single,DealerTrack,
464 Auto Sales,no rating,,,,,,
46 Auto Sales,D,15-Jan,20,0-5,Single,None,
480 Motorsports,no rating,,,,,FEX (FinanceExpress),
48 Auto,,,,,,,
48 CREEK MOTORS LLC.,,,,,,,
48th State Automotive,no rating,,65,0-5,Single,,
495 Chrysler Jeep Dodge,no rating,,,,,Reynolds,Reynolds
"499 Route 6A, Inc",no rating,,432,,,,
49Er Motors,C,16-30,25,0-5,Single,DealerCenter (Westlake),
4 B Oil Co,,,,,,,
"4DP (FordyP, Summit Automotive, BCIT)",,,,,,,
"4 Friends Auto Sales, LLC",A,,,,,FEX (FinanceExpress),
4-H Auto Sales LLC,C,16-30,20,0-5,Single,AutoSoft,
4k Auto Deals,,,,,,,
4 Lane Auto Sales Inc.,D,15-Jan,15,0-5,Single,None,
4M Autoplex,B,,100,,,,
4M Auto Sales,,,,,,,
4 M Auto Sales,D,15-Jan,25,0-5,Single,None,
4 Rides Auto Sales,no rating,,62,,,FEX (FinanceExpress),
4 Saisons Chev Cad Pontiac GMC,no rating,,,,,,
4 Seasons Motors,D,15-Jan,25,0-5,Single,None,
4 Stars Auto Dismantling Sales,D,15-Jan,5,0-5,Single,None,
